Тип задачи,Ключ проблемы,Идентификатор проблемы,Приоритет,Статус,Автор,Исполнитель,Тема,Customer Request Type,Cоздано,Время закрытия,Время закрытия упрощен,Реакция исполнителя,Реакция исполнителя упрощен,Описание
Customer claim,CCS-8177349,14754560,Средний,Решена,ccstest,krylosov,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 19:56,45:00,1 нед.,9:00,1 д.,"Описание:
 Клиент обратился в чат Самоката. Решили вопрос возвратом."
Customer claim,CCS-8177076,14753877,Средний,Решена,ccstest,shakirzyanova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 18:33,44:48,4 д. 8ч,8:58,8ч 58м,"Описание:
 Описание ситуации: яйца испорчены
Ожидаемый вариант урегулирования: возврат дс"
Customer claim,CCS-8177038,14753698,Средний,Решена,ccstest,abaranova,4.2. Click&Collect / Delivery: Запрос. Доставка опоздала,,2024-11-25 18:22,44:22,4 д. 8ч,8:22,8ч 22м,"Описание:
 Интервал доставки уже начался, но заказ еще не подтвержден. Просьба уточнить статус заказа и когда будет доставка."
Customer claim,CCS-8177037,14753697,Средний,Решена,ccstest,shakirzyanova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 18:22,44:42,4 д. 8ч,8:56,8ч 56м,"Описание:
 Описание ситуации: мандарины испортились
Ожидаемый вариант урегулирования: возврат дс"
Customer claim,CCS-8176987,14753818,Средний,Решена,ccstest,msokolovskaya,5. Товар и упаковка: Претензия. Товар неисправен (брак),,2024-11-25 18:05,44:51,4 д. 8ч,8:57,8ч 57м,"Описание:
 Описание ситуации
Ожидаемый вариант урегулирования
https://portal.infobip.com/conversations/my-work?conversationId=af5b582a-6082-4724-9108-4e458251b507"
Customer claim,CCS-8176959,14753646,Средний,Решена,ccstest,dergunova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-25 17:55,43:55,4 д. 7ч,7:56,7ч 56м,"Заказала много сыров, один из них привезли со сроком годности истекающим на днях!!!!! Зачем класть такое?! Сыры не дешёвые, а вы кладёте уже продукты, которые вот вот будут просрочкой. Мне вот он нужен был на Новый год!!!!"
Customer claim,CCS-8176851,14753377,Средний,Дубль,ccstest,krylosov,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-25 17:19,43:19,4 д. 7ч,7:19,7ч 19м,Привезли тухлый плесневелый товар
Customer claim,CCS-8176842,14753369,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 17:16,43:16,4 д. 7ч,7:16,7ч 16м,"доставили одну упаковку арестовали двух, обнаружили, когда курьер уехал"
Customer claim,CCS-8176787,14753187,Средний,Решена,ccstest,arodionova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-25 17:00,43:08,4 д. 7ч,9:00,1 д.,Можно продукты свежие класть? 
Customer claim,CCS-8176759,14753163,Средний,Решена,ccstest,msokolovskaya,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 16:50,42:59,4 д. 6ч,7:24,7ч 24м,"привезли испорченные продукты, половина помидоров Гнилая, также индейка пахнет тухлым мясом"
Customer claim,CCS-8176721,14752996,Средний,Решена,ccstest,msokolovskaya,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 16:39,43:17,4 д. 7ч,7:17,7ч 17м,"Описание:
 Описание ситуации Клиенту не привезли часть товаров."
Customer claim,CCS-8176719,14752994,Средний,Решена,ccstest,msokolovskaya,5. Товар и упаковка: Претензия. Товар неисправен (брак),,2024-11-25 16:38,44:51,4 д. 8ч,8:54,8ч 54м,"Описание:
 https://portal.infobip.com/conversations/my-work?conversationId=df9468d0-3270-442b-b6ff-04b34a580122"
Customer claim,CCS-8176691,14752978,Средний,Решена,ccstest,telyukova,4.2. Click&Collect / Delivery: Запрос. Покупателю не могут выдать заказ,,2024-11-25 16:29,43:21,4 д. 7ч,8:37,8ч 37м,мне привезли не мой заказ
Customer claim,CCS-8176656,14752882,Средний,Решена,ccstest,abaranova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 16:17,42:19,4 д. 6ч,7:40,7ч 40м,"Открыла крышку сыра и заметила что фольга проткнута, открыла а там запах плесени и сыр этот кислый. Прошу вернуть бонусы которыми я оплатила этот товар. Творожный сыр испорчен"
Customer claim,CCS-8176419,14751969,Средний,Решена,ccstest,mnesterova,4.2. Click&Collect / Delivery: Запрос. Продавец не учёл бонусы или промокод,,2024-11-25 15:08,43:46,4 д. 7ч,8:06,8ч 6м,"После данного заказа с промокодом от блогера,  мой аккаунт заблокировали.  Хочу уточнить причину блокировки"
Customer claim,CCS-8175586,14749199,Средний,Решена,ccstest,dmoiseeva,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-25 10:51,44:48,4 д. 8ч,8:58,8ч 58м,"Описание:
 Описание ситуации:
Ожидаемый вариант урегулирования
https://portal.infobip.com/conversations/my-work?conversationId=3358cd97-d8f5-4363-af98-c26aaf21269b"
Customer claim,CCS-8175273,14748466,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-25 08:40,44:42,4 д. 8ч,8:42,8ч 42м,Товар плохого качества 
Customer claim,CCS-8175245,14748554,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-25 08:23,44:49,4 д. 8ч,8:49,8ч 49м,"Оставляла заявку на гнилую хурму. Выдали промокод, который не действует в данном магазине. Прошу вернуть деньги, раз он не действует в самокате, либо заменить товар!"
Customer claim,CCS-8175019,14748079,Средний,Решена,ccstest,arodionova,5. Товар и упаковка: Претензия. Товар неисправен (брак),,2024-11-25 01:20,40:14,4 д. 4ч,9:00,1 д.,Испорчено
Customer claim,CCS-8174999,14747893,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-25 01:11,44:35,4 д. 8ч,8:35,8ч 35м,"Просто ужасно, сделала доставку на День матери, основной заказ был торт. Привезли только конфеты, не позвонили не заменили на аналогичный товар, просто позор. Фото нет, потому что доставка была в подарок маме. 
"
Customer claim,CCS-8174899,14747837,Средний,Решена,ccstest,levishcheva,6. Обмен и возврат: Претензия. Товар не подошёл или Клиент передумал,,2024-11-25 00:22,41:59,4 д. 5ч,7:00,7ч 1м,"Покупала корнишоны для закуски, а они мягчайшие. Никакого хруста! "
Customer claim,CCS-8174833,14747800,Средний,Дубль,ccstest,sugaipova,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-24 23:50,44:18,4 д. 8ч,8:18,8ч 18м,"Нет этой позиции, пакет у курьера был не завязан."
Customer claim,CCS-8174766,14747625,Средний,Решена,ccstest,levishcheva,5. Товар и упаковка: Претензия. Товар неисправен (брак),,2024-11-24 23:18,38:36,4 д. 2ч,6:51,6ч 51м,"хурмы которую я заказывал нет вообще, приехало что-то гнилое
 сметана испортиться завтра, привезли просрочку, бананы опять такие что их пора выкидывать уже. ужас. молоко из заказа не привезли вообще"
Customer claim,CCS-8174748,14747615,Средний,Решена,ccstest,abaranova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 23:08,43:50,4 д. 7ч,8:50,8ч 50м,"Доставка задержалась на 20 минут. Привезли растаявшее мороженное, при вскрытии 50% превратилось в воду"
Customer claim,CCS-8174607,14747349,Средний,Решена,ccstest,sugaipova,4.2. Click&Collect / Delivery: Запрос. Корректировка статуса товара и/или вернуть ДС по запросу клиента,,2024-11-24 21:59,44:56,4 д. 8ч,8:56,8ч 56м,"Статус в ЕРМ:
 Выполняется
Изменить статус на:
 Отменен
Нужен возврат ДС?:
 Да
Описание:
 Покупатель просит отменить заказ"
Customer claim,CCS-8174606,14747348,Средний,Решена,ccstest,abaranova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 21:59,44:43,4 д. 8ч,8:56,8ч 56м,привезли товар не пригодный к употреблению
Customer claim,CCS-8174477,14747268,Средний,Решена,ccstest,borovskikh,4.2. Click&Collect / Delivery: Запрос. Действия курьера или сборщика,,2024-11-24 21:14,44:37,4 д. 8ч,8:37,8ч 37м,"Описание:
 Клиент сообщает, что отменили часть без оповещения. С клиентом не связались и не уточнили нужно ли доставлять вместо 3 упаковок 1."
Customer claim,CCS-8174425,14747231,Средний,Решена,ccstest,borovskikh,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 20:53,44:36,4 д. 8ч,8:36,8ч 36м,"Добрый вечер . Заказал товар . Пришло все . Но покет был не в хорошем состояний , внутри от картофеля земля и пыль разошлась по всем остальным продуктам . "
Customer claim,CCS-8174423,14747229,Средний,Решена,ccstest,borovskikh,4.2. Click&Collect / Delivery: Запрос. Действия курьера или сборщика,,2024-11-24 20:53,43:41,4 д. 7ч,7:58,7ч 58м,не привезли хурму
Customer claim,CCS-8174376,14747201,Средний,Дубль,ccstest,dmoiseeva,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-24 20:38,45:00,1 нед.,9:00,1 д.,"Мне половину заказа не доставили. Прошу вернуть деньги за недоставленные товары. Возможно, курьер забыл мне отдать второй пакет.
Заметила отсутствие товара, когда уже распаковала заказ и открыла пакет.
Курьер просто отдал пакет и все, все продукты в пакете я не проверяла."
Customer claim,CCS-8174361,14747095,Средний,Решена,ccstest,borovskikh,4.2. Click&Collect / Delivery: Запрос. Покупателю не могут выдать заказ,,2024-11-24 20:33,44:20,4 д. 8ч,8:20,8ч 20м,Скоро ожидать доставку ? Почему она до сих пор в статусе «на подтверждении»
Customer claim,CCS-8174351,14747088,Средний,Решена,ccstest,etrusova,4.2. Click&Collect / Delivery: Запрос. Продавец не учёл бонусы или промокод,,2024-11-24 20:30,44:00,4 д. 8ч,8:08,8ч 8м,"При оформлении заказа я выбирала оплату бонусами «спасибо», но в итоге полную сумму заказа списали с карты."
Customer claim,CCS-8174340,14746992,Средний,Дубль,ccstest,etrusova,4.2. Click&Collect / Delivery: Запрос. Продавец не учёл бонусы или промокод,,2024-11-24 20:28,43:52,4 д. 7ч,7:52,7ч 52м,"При оформлении заказа я выбирала оплату бонусами «спасибо», но в итоге полную сумму заказа списали с карты. "
Customer claim,CCS-8174295,14747057,Средний,Решена,ccstest,borovskikh,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-24 20:09,44:22,4 д. 8ч,8:26,8ч 26м,"в заказе после сборке стало 4шт, фактически курьер принес только 3шт"
Customer claim,CCS-8174290,14747054,Средний,Решена,ccstest,borovskikh,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 20:07,43:43,4 д. 7ч,7:52,7ч 52м,"Хурма вялая со следами  испорченности.
"
Customer claim,CCS-8174271,14747042,Средний,Решена,,borovskikh,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 20:00,44:04,4 д. 8ч,8:31,8ч 31м,"Разве это похоже на хорошую картошку? И таких много, особенно когда она стоит 300 рублей…."
Customer claim,CCS-8174251,14747027,Средний,Дубль,ccstest,borovskikh,4.2. Click&Collect / Delivery: Запрос. Действия курьера или сборщика,,2024-11-24 19:54,44:16,4 д. 8ч,8:16,8ч 16м,"Вот в таком виде ко мне приехал товар! Может будет хотябы компенсация какая-то?? Что это вообще за доставка такая 
"
Customer claim,CCS-8174175,14746678,Средний,Решена,ccstest,puzyrnikov,4.2. Click&Collect / Delivery: Запрос. Доставка опоздала,,2024-11-24 19:33,44:01,4 д. 8ч,8:05,8ч 5м,"Описание:
 Интервал доставки уже начался, но заказ еще не подтверждён. Просьба уточнить статус заказа и когда будет доставка."
Customer claim,CCS-8173714,14746090,Средний,Решена,ccstest,abaranova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 17:02,44:44,4 д. 8ч,8:46,8ч 46м,"1)после распаковки
2)проверила товар после получения "
Customer claim,CCS-8173514,14745696,Средний,Решена,ccstest,puzyrnikov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 16:03,45:00,1 нед.,9:00,1 д.,"Мед лежал на дне пакета с открытой крышкой, вытекло на дно пакета почти половина меда. При получении , что банка открыта и все размазано по дну не было видно , так как было закрыто другими продуктами сверху. "
Customer claim,CCS-8173482,14745838,Средний,Решена,ccstest,borovskikh,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 15:51,44:27,4 д. 8ч,8:59,8ч 59м,"Заказ был сделан 22 ноября поздно вечером! Сегодня решила приготовить голени, открыла упаковку ужасный запах тухлятины !!!! Срок годности до 27 ноября!!! Верните деньги за вашу тухлятину!!!"
Customer claim,CCS-8173362,14745553,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 15:12,44:00,4 д. 8ч,9:00,1 д.,"Некоторые помидоры гнилые 
А котлеты вздутые, открыла а они с душком, прям сильный запах. Готовить их точно не буду, ушли в утиль "
Customer claim,CCS-8173269,14745502,Средний,Решена,ccstest,borovskikh,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 14:43,44:58,4 д. 8ч,8:58,8ч 58м,Упаковка от сметаны была повреждена и размазалась по всему пакету
Customer claim,CCS-8173054,14745168,Средний,Решена,ccstest,arodionova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 13:40,39:18,4 д. 3ч,9:00,1 д.,"Привезли сметану которой уже месяц, через три дня истекает срок годности, покупала детям.
Огурец с одной стороны мягкий
При курьере не могла посмотреть тк заказываю в больницу и пакеты нам уже приносят медсестры. "
Customer claim,CCS-8172856,14744920,Средний,Решена,ccstest,shakirzyanova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 12:30,44:38,4 д. 8ч,8:52,8ч 52м,"Добрый день, 
В упаковке с колбасой было много жидкости, а на вкус оказалась кислой - очевидно, с истекшим сроком годности "
Customer claim,CCS-8172854,14744918,Критичный,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 12:29,9:00,1 д.,1:00,1ч,"Светлы не килограмм, а буквально две свеколки 
Помидоры гнилые 
Суки"
Customer claim,CCS-8172824,14744595,Средний,Решена,ccstest,mnesterova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 12:16,43:35,4 д. 7ч,7:56,7ч 56м,После распаковки. 
Customer claim,CCS-8172470,14744167,Средний,Решена,ccstest,puzyrnikov,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 09:59,45:00,1 нед.,9:00,1 д.,"Здравствуйте. Мандарины пришли просто ужасные, гнилые. Прошу вернуть деньги и бонусы "
Customer claim,CCS-8172441,14744048,Средний,Решена,ccstest,sugaipova,4.2. Click&Collect / Delivery: Запрос. Покупателю не могут выдать заказ,,2024-11-24 09:40,45:00,1 нед.,9:00,1 д.,"статус заказа ""товары у вас"", но я ничего не получала!"
Customer claim,CCS-8172419,14744132,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-24 09:28,45:00,1 нед.,9:00,1 д.,"Плесень на торту, хотя срок годности ещё не истек. Грейпфрут очень маленького размера, не 400 гр как указано "
Customer claim,CCS-8172301,14743850,Средний,Решена,ccstest,sugaipova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 07:46,45:00,1 нед.,9:00,1 д.,"Индейка испортилась, мясо имеет неприятный запах"
Customer claim,CCS-8172298,14743846,Средний,Решена,ccstest,sugaipova,6. Обмен и возврат: Претензия. Товар не подошёл или Клиент передумал,,2024-11-24 07:42,45:00,1 нед.,9:00,1 д.,"Пахнет кислым, тухлым испорченным
"
Customer claim,CCS-8172214,14743787,Средний,Решена,ccstest,mnesterova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-24 01:37,43:45,4 д. 7ч,8:40,8ч 40м,"При вскрытии упаковки появился резкий запах испорченного продукта. Сроки при получении проверила, годен до 26.11.2024. Похоже где-то были нарушены условия хранения.
Прошу вернуть стоимость испорченного товара "
Customer claim,CCS-8172154,14743752,Средний,Решена,ccstest,arodionova,5. Товар и упаковка: Претензия. Товар неисправен (брак),,2024-11-24 00:29,44:27,4 д. 8ч,9:00,1 д.,"Добрый день. 
Сыр оказался прокисшим, хотя срок годности был в норме"
Customer claim,CCS-8172119,14743734,Средний,Решена,ccstest,mnesterova,4.2. Click&Collect / Delivery: Запрос. Продавец не учёл бонусы или промокод,,2024-11-24 00:13,43:55,4 д. 7ч,8:42,8ч 42м,"Добрый день. 
В наличии не было куриных бедрышек, а бонусы у меня за них списали."
Customer claim,CCS-8170926,14741895,Средний,Решена,ccstest,shakirzyanova,4.2. Click&Collect / Delivery: Запрос. Действия курьера или сборщика,,2024-11-23 16:25,42:46,4 д. 6ч,6:54,6ч 54м,В заказе не хватает кислого мармелада. 
Customer claim,CCS-8170454,14741242,Средний,Решена,ccstest,dmoiseeva,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-23 13:53,45:00,1 нед.,9:00,1 д.,Один из пакетов был с дырой.
Customer claim,CCS-8168918,14738676,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-22 21:04,44:20,4 д. 8ч,8:48,8ч 48м,Товар пришел в открытой упаковке 
Customer claim,CCS-8168044,14736926,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Товар не соответствует заказанному,,2024-11-22 16:11,41:53,3 д. 14ч,8:42,8ч 42м,"В описании гранат350-450 гр, а привезли маленький сморщенный высохший гранат на 290 гр вместе с упаковкой!!! Такое чувство что второй гранат отсюда просто вытащили, да и этот только в мусорку, я не знаю сколько он хранится уже, видимо прошлогодний🤦‍♀️"
Customer claim,CCS-8167653,14735977,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Товар с истекающим (истёкшим) сроком годности,,2024-11-22 14:18,39:56,3 д. 12ч,8:38,8ч 38м,"Кекс до 23 ноября, т.е. его нужно съесть за сегодня. Примерно за 10 часов. Вы можете хоть раз привезти товар с нормальным сроком, чтобы  я не писал о проблеме. "
Customer claim,CCS-8167625,14735666,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Комплектность товара или заказа не полная,,2024-11-22 14:10,39:46,3 д. 12ч,8:36,8ч 36м,1 шт
Customer claim,CCS-8167380,14735016,Средний,Решена,ccstest,etrusova,5. Товар и упаковка: Претензия. Товар пришёл повреждённым,,2024-11-22 12:53,45:00,1 нед.,9:00,1 д.,"Капусту привезли замороженную! Как её есть? И почему нигде не написано , что она со льдом? "
Customer claim,CCS-8163458,14725453,Средний,Решена,ccstest,smktsd,5. Товар и упаковка: Претензия. Вред здоровью покупателю,,2024-11-21 03:30,23:57,2 д. 5ч,0:35,35 мин.,мой ребенок отравился детским питанием 
